timestamp,open,close,net_call_volume,net_put_volume,net_call_gamma,net_put_gamma,mean_call_ivol,mean_put_vol,total_gamma,total_volume,mean_ivol,call_put_gamma_imbalance,gamma_times_volume,ivol_adjusted_net_gamma,returns,month,day
2023-06-13,435.32,436.66,638740.0,499590.0,0.7441645790171351,0.7166181199080024,0.159970895968342,0.1726766370224696,1.4607826989251373,1138330.0,0.1663237664954058,0.02754645910913267,1662852.7696674515,0.24296288051655324,0.0008015389547931248,6,13
2023-06-14,437.01,437.18,764192.0,538111.0,0.8064317298266603,0.8788736132514874,0.14382779670412776,0.11228206136164849,1.6853053430781477,1302303.0,0.12805492903288812,-0.07244188342482705,2194778.204206701,0.21581165610661937,-0.0019442792442472727,6,14
2023-06-15,436.33,442.6,1229127.0,478107.0,1.311535326514058,0.5212215855972917,0.08827849854238609,0.2589148986450339,1.8327569121113496,1707234.0,0.17359669859371002,0.7903137409167662,3128944.914091508,0.3181605492673326,0.0009489380930862157,6,15
2023-06-16,443.02,439.46,588220.0,558640.0,0.8555684348810646,0.8419471258760595,0.13431181905835632,0.09076624911025957,1.697515560757124,1146860.0,0.11253903408430795,0.013621309005005133,1946812.696009915,0.19103676155068908,-0.004573795112183114,6,16
2023-06-20,437.45,437.18,564250.0,504711.0,0.8749202821443492,0.8605520792213501,0.08463442354275454,0.13409911716419434,1.7354723613656993,1068961.0,0.10936677035347445,0.014368202922999118,1855152.2708778393,0.18980300720028445,-0.0023331350930966234,6,20
2023-06-21,436.16,434.94,573881.0,561303.0,0.9036434216526326,0.9618662890749313,0.12579675844359553,0.09678879184862835,1.8655097107275638,1135184.0,0.11129277514611194,-0.05822286742229876,2117696.775462559,0.20761775276889108,-0.002276176024279232,6,21
2023-06-22,433.95,436.51,860637.0,580878.0,0.9744355297559552,0.9292733527563978,0.08567428159821112,0.11997177290435031,1.903708882512353,1441515.0,0.10282302725128072,0.04516217699955738,2744224.9097747942,0.19574511030507283,-0.008201415775125391,6,22
2023-06-23,432.93,433.21,672334.0,503445.0,0.9661844889608091,0.9041344105640191,0.0955674044880108,0.11722139018867754,1.870318899524828,1175779.0,0.10639439733834416,0.06205007839679,2199081.685364403,0.19899145214545916,-0.001361926086655375,6,23
2023-06-26,432.62,431.44,596194.0,597814.0,0.894880375723312,0.9182701634974753,0.12835904092751257,0.07547317100541222,1.8131505392207874,1194008.0,0.10191610596646239,-0.02338978777416323,2164916.249033934,0.1847892424883742,0.0021092156499166164,6,26
2023-06-27,432.35,436.17,699788.0,524472.0,0.9325982605421332,0.9215149702647198,0.07826709502360032,0.12237929519762318,1.854113230806853,1224260.0,0.10032319511061175,0.011083290277413393,2269916.663947598,0.18601056341140262,-0.002567806130637147,6,27
